Jahr;Geschlecht;Vorname;Anzahl
2009;M;Azadi;1
2009;W;Beray;1
2021;M;Niels;1
2021;M;Niklas;2
2021;M;Niwan;1
2021;W;Noée;1
2021;M;Noël;1
2021;W;Noela;1
2021;W;Nouha;1
2021;M;Nyo;1
2021;M;Odin;1
2021;M;Oktawiusz;1
2021;M;Omer;1
2021;W;Oona;1
2021;M;Oscar;1
2021;W;Ozeana;1
2021;W;Quinn;1
2021;M;Rami;1
2021;W;Rémi;1
2021;W;Ren;1
2021;M;Richárd;1
2021;W;Rima;1
2021;M;Romeo;1
2021;W;Roni;1
2021;W;Rosa;3
2021;W;Roxy;1
2021;W;Rufta;1
2021;M;Saad;1
2021;W;Safia;1
2021;M;Santiago;2
2021;M;Sebastián;1
2021;W;Sena;1
2021;W;Serafine;1
2021;W;Shpresa;1
2021;W;Siena;1
2021;W;Sienna;2
2021;M;Simon;4
2021;W;Sofia;7
2021;M;Sousuke;1
2021;M;Suhayb;1
2021;M;Sulaiman;1
2021;W;Tara;2
2021;W;Tess;1
2021;W;Thea;2
2021;M;Thiago;1
2021;W;Tijana;1
2021;M;Ubejd;1
2021;M;Valentin;4
2021;M;Victor;4
2021;W;Victoria;3
2021;M;Vittorio;1
2021;W;Viva;1
2021;M;Wajeeh;1
2021;M;Wim;1
2021;W;Xira;1
2021;W;Yemaya;1
2021;M;Yuma;2
2021;M;Yunus;1
2011;M;Alicem;1
2011;W;Alissa;1
2011;M;Alwin;1
2011;M;Amael;1
2011;W;Amber;1
2011;W;Amélie;9
2011;M;Amiel;1
2011;W;Amra;1
2011;M;Anadi;1
2011;W;Anastasija;1
2011;M;Andrin;2
2011;W;Anisha;1
2011;W;Anna;9
2011;W;Anny;1
2011;W;Antje;1
2011;W;Arbenita;1
2011;M;Arkan;1
2011;M;Artur;1
2011;M;Arwin;2
2011;M;Aryan;1
2011;W;Arzijana;1
2011;W;Asmin;1
2011;W;Aurora;4
2011;W;Avani;1
2011;M;Avrahom;1
2011;W;Azzurra;1
2011;W;Bebel;1
2011;M;Benicio;1
2011;W;Bérfin;1
2011;M;Bryan;1
2011;M;Burim;1
2011;W;Carina;1
2011;W;Carla;2
2011;M;Carmelo;1
2011;W;Chiara;3
2011;W;Chinazo;1
2011;W;Chisomu;1
2011;M;Christophe;1
2011;M;Corsin;1
2011;M;Daniele;1
2011;M;Daoud;1
2011;W;Darija;1
2011;W;Debora;2
2011;M;Dian;2
2011;W;Diana;1
2011;M;Dorian;3
2011;M;Dylan;1
2011;M;Edmond;1
2011;M;Edonis;1
2011;M;Efrem;1
2011;M;Eldi;1
2011;W;Eline;1
2011;W;Elisa;2
2011;W;Elisaveta;1
2011;M;Emanuel;2
2011;M;Emil;5
2011;W;Emilie;1
2011;M;Emircan;1
2011;M;Erdi;1
2011;W;Erna;1
2011;M;Eron;1
2011;M;Ersin;1
2011;W;Erza;1
2011;W;Esranur;1
2011;W;Eva;2
2011;M;Evan;1
2011;W;Evin;1
2011;W;Filipa;1
2011;M;Florian;2
2011;W;Francesca;1
2011;W;Freeha;1
2011;W;Gabriela;1
2011;M;Gert;1
2011;M;Gian;4
2011;W;Gina;1
2011;W;Giorgia;2
2011;W;Giulia;2
2011;W;Goren;1
2011;M;Gregory;1
2011;M;Hakimlokman;1
2011;W;Halime;1
2011;M;Harshan;1
2011;W;Hazal;1
2011;W;Helin;1
2011;M;Henri;2
2011;W;Henriette;1
2011;M;Hüseyin;2
2011;M;Ilyas;2
2011;W;Inès;1
2011;M;Isaac;1
2011;M;Jamie;2
2011;W;Jamie;1
2011;W;Jamila;1
2011;M;Janis;1
2011;W;Janna;1
2011;M;Janosh;1
2011;M;Jari;1
2011;M;Jêhat;1
2011;M;Jesper;2
2011;W;Jiayue;1
2011;M;Jodok;1
2011;W;Johanna;5
2011;M;Jorden;1
2011;M;Josia;2
2011;W;Jovana;1
2011;W;Joyce;1
2011;W;Julia;4
2011;M;Julius;1
2011;M;Justin;1
2011;W;Kaira;1
2011;W;Kayra;1
2011;W;Kendra;1
2011;M;Kiyan;1
2011;M;Kristian;1
2011;W;Lana;1
2011;M;Lars;3
2011;M;Laurent;1
2011;M;Leonidas-Ermis;1
2011;W;Leonita;1
2011;W;Leonore;1
2011;W;Léonore;1
2011;W;Leontina;1
2011;M;Levin;4
2011;W;Leya;1
2011;W;Lhadön;1
2011;W;Liana;1
2011;W;Lili-Sophie;1
2011;W;Liliana;2
2011;W;Lilie;1
2011;W;Lina;6
2011;W;Lisa;5
2011;W;Livia;1
2011;M;Loïk;1
2011;M;Loïs;1
2011;W;Lou;1
2011;W;Madelyn;1
2011;M;Maël;2
2011;M;Majid;1
2011;W;Maleah-Leandra;1
2009;W;Maria-Elenia;1
2009;W;Marie-Carla;1
2009;M;Marlon;3
2009;M;Mathis;3
2009;M;Matti;1
2009;M;Mattia;3
2009;M;Mert;1
2009;M;Mirac;1
2009;M;Moritz;2
2009;M;Morris;1
2009;W;Muriel;1
2009;W;Nadine;3
2009;W;Nanna;1
2009;W;Naomi;2
2009;W;Naomy;1
2009;W;Natalie;1
2009;W;Nehir;1
2009;W;Nevena;1
2009;M;Nikolas;1
2009;W;Nisa;1
2009;W;Noa;2
2009;W;Noemi;1
2009;W;Nour;1
2009;W;Ora;1
2009;M;Oskar;1
2009;W;Pariini;1
2009;M;Pascoal;1
2009;M;Pau;1
2009;W;Prisca;1
2009;W;Raina;1
2009;W;Raya;1
2009;M;Reto;1
2009;M;Rikardo;1
2009;M;Robin;2
2009;M;Rodrigo;1
2009;W;Romina;1
2009;W;Ronja;1
2009;W;Roxanne;1
2009;M;Roy;1
2009;W;Salome;1
2009;W;Samreen;1
2009;W;Sanna;1
2009;W;Sara;6
2009;W;Sarya;1
2009;W;Sefika;1
2009;W;Seline;1
2009;W;Seraphine;1
2009;M;Severin;1
2009;W;Silja;1
2009;M;Simeon;1
2009;M;Simone;1
2009;W;Simone;1
2009;M;Sven;2
2009;W;Tahsin;1
2009;M;Tate;1
2009;W;Taylor;1
2009;W;Theedsaki;1
2009;M;Theo;1
2009;W;Tijana;1
2009;M;Tinotenda;1
2009;W;Tiziana;1
2009;M;Tobias;1
2009;M;Vehbi;1
2009;W;Vianne;1
2009;M;Vidyut;1
2009;M;Vinicius;1
2009;W;Viola;1
2009;W;Xenia;2
2011;W;Malena;1
2011;M;Malo;1
2011;W;Malou;1
2011;M;Mathis;2
2011;M;Mats;2
2011;M;Maurizio;1
2011;M;Max;4
2011;M;Metehan;1
2011;M;Miro;2
2011;M;Mohd;1
2011;W;Monika;1
2011;M;Muhammed;4
2011;M;Naim;1
2011;W;Nathalie;2
2011;M;Navin;1
2011;M;Nepomuk;1
2011;M;Nicola;2
2011;M;Nikita;2
2011;M;Nikolas;1
2011;W;Nima;1
2011;W;Nisanur;1
2011;M;Nizar;1
2011;W;Noa;3
2011;W;Nora;5
2011;W;Olivia;5
2011;W;Olsa;1
2011;M;Owen;1
2011;M;Pedro;2
2011;M;Platon;1
2011;W;Rana;1
2011;M;Raoul;2
2011;M;Rasmus;1
2011;M;Rayan;1
2011;M;Ricardo;1
2011;W;Rimais;1
2011;W;Rina;2
2011;M;Robin;2
2011;W;Robisha;1
2011;M;Rodrigo;1
2011;M;Roman;1
2011;W;Rossana;1
2011;M;Rufta;1
2011;W;Rumejsa;1
2011;W;Salome;1
2011;M;Samuel;7
2011;W;Semiha;1
2011;M;Severin;1
2011;W;Sevim;1
2011;W;Shakira;1
2011;M;Shayaan;1
2011;W;Shayana;1
2011;W;Simran;1
2011;W;Sina;1
2011;W;Sophia;9
2011;M;Stefan;2
2011;W;Sunna;1
2011;M;Surawat;1
2011;W;Swarnika;1
2011;M;Tauhid;1
2011;M;Thierry;1
2011;M;Tiago;2
2011;M;Timothée;1
2011;M;Tobias;1
2011;M;Tom;3
2011;M;Vadim;1
2011;M;Vincenz;1
2009;M;Yann;1
2009;M;Yannic;1
2009;M;Yannik;1
2009;M;Yannis;2
2009;W;Yaren;1
2009;M;Yigal;1
2009;M;Yuki;1
2009;W;Zara;1
2009;W;Zeena;1
